concept_og,feature_og,freq,feature,concept_en,feature_en
aalbes,blauw,2,colors,"['ribes', 'red currant', 'redcurrant', 'garden current', 'Ribes rubrum']","['blue', 'blueness']"
aalbes,groen,2,colors,"['ribes', 'red currant', 'redcurrant', 'garden current', 'Ribes rubrum']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
aalbes,rood,8,colors,"['ribes', 'red currant', 'redcurrant', 'garden current', 'Ribes rubrum']","['red', 'redness']"
aalbes,zwart,3,colors,"['ribes', 'red currant', 'redcurrant', 'garden current', 'Ribes rubrum']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
aambeeld,grijs,1,colors,['cloud'],"['gray', 'grey', 'greyness', 'grayness']"
aambeeld,rood,1,colors,['cloud'],"['red', 'redness']"
aambeeld,zwart,1,colors,['cloud'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
aap,bruin,5,colors,['monkey'],"['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
aap,geel,1,colors,['monkey'],"['yellow', 'yellowness']"
aap,grijs,1,colors,['monkey'],"['gray', 'grey', 'greyness', 'grayness']"
aap,zwart,2,colors,['monkey'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
aardappel,bruin,5,colors,"['potato', 'tater', 'spud', 'murphy', 'white potato', 'Irish potato']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
aardappel,geel,2,colors,"['potato', 'tater', 'spud', 'murphy', 'white potato', 'Irish potato']","['yellow', 'yellowness']"
aardbei,groen,1,colors,"['garden strawberry', 'strawberry', 'strawberry juice']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
aardbei,rood,9,colors,"['garden strawberry', 'strawberry', 'strawberry juice']","['red', 'redness']"
abrikoos,geel,4,colors,"['common apricot', 'Prunus armeniaca', 'apricot']","['yellow', 'yellowness']"
abrikoos,oranje,9,colors,"['common apricot', 'Prunus armeniaca', 'apricot']","['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']"
abrikoos,perzik,4,colors,"['common apricot', 'Prunus armeniaca', 'apricot']","['peach', 'peach tree', 'Prunus persica']"
abrikoos,rood,2,colors,"['common apricot', 'Prunus armeniaca', 'apricot']","['red', 'redness']"
abrikoos,roze,1,colors,"['common apricot', 'Prunus armeniaca', 'apricot']",['pink']
adder,bruin,1,colors,"['viper', 'crossed viper', 'European adder', 'common viper', 'Vipera berus']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
adder,groen,1,colors,"['viper', 'crossed viper', 'European adder', 'common viper', 'Vipera berus']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
adder,zwart,1,colors,"['viper', 'crossed viper', 'European adder', 'common viper', 'Vipera berus']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
advocaat,geel,4,colors,"['avocado', 'avocado pear', 'butter pear', 'alligator pear', 'avocado tree', 'Persea Americana', 'lawyer', 'attorney', 'barrister']","['yellow', 'yellowness']"
advocaat,groen,1,colors,"['avocado', 'avocado pear', 'butter pear', 'alligator pear', 'avocado tree', 'Persea Americana', 'lawyer', 'attorney', 'barrister']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
advocaat,zwart,3,colors,"['avocado', 'avocado pear', 'butter pear', 'alligator pear', 'avocado tree', 'Persea Americana', 'lawyer', 'attorney', 'barrister']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
ajuin,bruin,1,colors,"['onion', 'Allium cepa', 'onion plant']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
ajuin,oranje,1,colors,"['onion', 'Allium cepa', 'onion plant']","['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']"
ajuin,wit,3,colors,"['onion', 'Allium cepa', 'onion plant']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
alligator,groen,1,colors,['gator'],"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
ananas,geel,9,colors,"['Ananas comosus', 'pineapple plant', 'pineapple']","['yellow', 'yellowness']"
ananas,groen,1,colors,"['Ananas comosus', 'pineapple plant', 'pineapple']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
ansjovis,olijf,1,colors,"['anchovy', 'Engraulidae']","['olive wood', 'olive grove', 'olive tree', 'olive', 'olive orchard', 'European olive tree', 'Olea europaea']"
apotheker,groen,3,colors,"['pharmacist', 'chemist', 'druggist', 'pill roller', 'pill pusher', 'apothecary']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
apotheker,wit,3,colors,"['pharmacist', 'chemist', 'druggist', 'pill roller', 'pill pusher', 'apothecary']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
appel,bruin,1,colors,"['apple peel', 'apple', 'appeal']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
appel,groen,8,colors,"['apple peel', 'apple', 'appeal']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
appel,rood,9,colors,"['apple peel', 'apple', 'appeal']","['red', 'redness']"
archeoloog,beige,1,colors,"['archaeologist', 'archeologist']",['ecru']
arend,bruin,3,colors,"['eagle', 'bird of Jove']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
asperges,groen,3,colors,"['asparagus', 'Asparagus officinales', 'edible asparagus']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
asperges,rood,1,colors,"['asparagus', 'Asparagus officinales', 'edible asparagus']","['red', 'redness']"
