concept_en,feature_en,feature,freq
airplane,white,colors,5
algae,green,colors,17
alligator,green,colors,37
aluminum,silver,colors,24
ambulance,orange,colors,5
ambulance,red,colors,8
ambulance,white,colors,17
american,blue,colors,12
american,red,colors,12
american,white,colors,13
angel,white,colors,19
angry,red,colors,37
ant,black,colors,15
ant,red,colors,9
apple,green,colors,53
apple,red,colors,87
apple,white,colors,1
apple,yellow,colors,27
approach,green,colors,1
armour,silver,colors,7
artichoke,green,colors,13
artichoke,purple,colors,1
artichoke,white,colors,1
ash,gray,colors,14
ashes,gray,colors,18
asparagus,green,colors,44
asphalt,black,colors,10
avocado,green,colors,19
bag,different_colours,colors,6
balloon,colourful,colors,8
balloon,different_colours,colors,6
balloon,red,colors,2
banana,green,colors,7
banana,yellow,colors,48
barn,red,colors,12
barrel,brown,colors,8
baseball,red,colors,28
baseball,white,colors,25
basketball,orange,colors,28
bat_animal,black,colors,16
bathtub,white,colors,9
beak,orange,colors,1
beak,yellow,colors,5
bean,black,colors,5
bean,brown,colors,2
bean,green,colors,24
bean,yellow,colors,1
beans,brown,colors,9
beans,green,colors,18
beans,yellow,colors,8
bear,black,colors,21
bear,brown,colors,22
bear,white,colors,11
beaver,brown,colors,19
bee,black,colors,44
bee,yellow,colors,44
beehive,yellow,colors,7
beetle,black,colors,11
beets,purple,colors,8
beets,red,colors,19
belt,black,colors,15
belt,brown,colors,18
birch,white,colors,18
bison,brown,colors,10
black,white,colors,17
blackbird,black,colors,13
blackboard,black,colors,5
bleach,white,colors,150
bleed,red,colors,5
blonde,yellow,colors,54
blood,red,colors,59
blueberry,blue,colors,27
bluejay,blue,colors,26
blush,red,colors,112
board_black,black,colors,24
board_black,green,colors,23
board_wood,brown,colors,6
bomb,black,colors,4
bomb,red,colors,1
boots,black,colors,5
boots,brown,colors,5
bottle,green,colors,7
bow_ribbon,red,colors,9
box,brown,colors,14
bra,black,colors,5
bra,white,colors,9
bracelet,gold,colors,19
bracelet,silver,colors,17
branch,brown,colors,29
bread,brown,colors,20
bread,white,colors,18
brick,red,colors,14
bride,white,colors,84
britain,red,colors,12
broccoli,green,colors,49
broom,brown,colors,1
broom,yellow,colors,1
bruise,black,colors,10
bruise,blue,colors,16
bruise,purple,colors,5
brunette,black,colors,5
brunette,brown,colors,28
budgie,blue,colors,6
budgie,green,colors,5
buffalo,brown,colors,26
bull,red,colors,5
buoy,orange,colors,11
buoy,red,colors,9
buoy,white,colors,10
burn,black,colors,2
burn,red,colors,1
burned,black,colors,32
burned,red,colors,24
burnt,black,colors,42
bus,yellow,colors,23
butter,yellow,colors,47
butterfly,colourful,colors,15
butterfly,different_colours,colors,2
buzzard,black,colors,10
cab,yellow,colors,57
cabbage,brown,colors,15
cabbage,green,colors,91
cabbage,purple,colors,3
cabbage,red,colors,4
cabbage,white,colors,7
cactus,green,colors,100
