concept_og,feature_og,freq,feature,concept_en,feature_en
Ahorn,braun,1,colors,"['maple', 'maple tree', 'Maple']","['brown', 'brownness', 'Aquilus']"
Ahorn,gelb,1,colors,"['maple', 'maple tree', 'Maple']","['yellow', 'yellowness']"
Ahorn,grau,1,colors,"['maple', 'maple tree', 'Maple']","['gray', 'grey', 'greyness', 'grayness']"
Ahorn,weiß,1,colors,"['maple', 'maple tree', 'Maple']","['whiteness', 'white', 'colorimetric whiteness']"
Ahornblatt,grün,4,colors,"['maple-leaf', 'maple leaf']","['green', 'viridity', 'greenness']"
Ahornblatt,rot,1,colors,"['maple-leaf', 'maple leaf']","['red', 'redness']"
Anlage,blau,1,colors,"['facility', 'industrial plant', 'plant', 'whole', 'works', 'physical plant']","['blue', 'blueness']"
Anlage,grün,1,colors,"['facility', 'industrial plant', 'plant', 'whole', 'works', 'physical plant']","['green', 'viridity', 'greenness']"
Asche,grau,4,colors,"['ash', 'Ash']","['gray', 'grey', 'greyness', 'grayness']"
Asche,schwarz,1,colors,"['ash', 'Ash']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Auge,blau,1,colors,"['eye', 'eyes', 'eyeball', 'eye ball', 'optic', 'oculus']","['blue', 'blueness']"
Auge,braun,1,colors,"['eye', 'eyes', 'eyeball', 'eye ball', 'optic', 'oculus']","['brown', 'brownness', 'Aquilus']"
Banane,braun,1,colors,['banana'],"['brown', 'brownness', 'Aquilus']"
Banane,gelb,16,colors,['banana'],"['yellow', 'yellowness']"
Banane,grün,1,colors,['banana'],"['green', 'viridity', 'greenness']"
Banane,schwarz,2,colors,['banana'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Bananenschale,braun,3,colors,"['banana peel', 'banana skin']","['brown', 'brownness', 'Aquilus']"
Bananenschale,gelb,23,colors,"['banana peel', 'banana skin']","['yellow', 'yellowness']"
Bananenschale,grün,1,colors,"['banana peel', 'banana skin']","['green', 'viridity', 'greenness']"
Bananenschale,lila,1,colors,"['banana peel', 'banana skin']","['purpleness', 'purple', 'violet', 'reddish blue']"
Bananenschale,rosa,1,colors,"['banana peel', 'banana skin']","['rose', 'rosebush', 'pink']"
Bananenschale,schwarz,3,colors,"['banana peel', 'banana skin']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Bananenschale,weiß,2,colors,"['banana peel', 'banana skin']","['whiteness', 'white', 'colorimetric whiteness']"
Basket,orange,1,colors,[],"['France Télécom', 'Orange S.A.', 'orangeness']"
Basketball,braun,1,colors,"['basketball game', 'basketball player', 'hoops', 'basketball ball']","['brown', 'brownness', 'Aquilus']"
Basketball,orange,4,colors,"['basketball game', 'basketball player', 'hoops', 'basketball ball']","['France Télécom', 'Orange S.A.', 'orangeness']"
Basketball,schwarz,2,colors,"['basketball game', 'basketball player', 'hoops', 'basketball ball']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Baum,braun,1,colors,['tree'],"['brown', 'brownness', 'Aquilus']"
Baum,grün,2,colors,['tree'],"['green', 'viridity', 'greenness']"
Beere,blau,1,colors,['berry'],"['blue', 'blueness']"
Beere,rot,4,colors,['berry'],"['red', 'redness']"
