concept_en,feature_og,freq,feature,feature_en
air conditioner,白,9,colors,"['whiteness', 'white', 'colorimetric whiteness']"
airplane,白,8,colors,"['whiteness', 'white', 'colorimetric whiteness']"
bag,色も豊富,2,colors,[]
balloon,色は様々,6,colors,[]
balloon,色彩が豊か,6,colors,[]
balloon,赤,2,colors,"['communist', 'communism', 'red', 'redness']"
basement,灰色の壁,2,colors,[]
bomb,黒,12,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
bread,茶色,2,colors,"['brown', 'brownness', 'Aquilus']"
butterfly,きれいな色,2,colors,[]
butterfly,色が鮮やか,3,colors,[]
cake,白,6,colors,"['whiteness', 'white', 'colorimetric whiteness']"
car,色は様々,2,colors,[]
chair,茶色,2,colors,"['brown', 'brownness', 'Aquilus']"
church,白,5,colors,"['whiteness', 'white', 'colorimetric whiteness']"
cockroach,黒,14,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
cockroach,茶色,3,colors,"['brown', 'brownness', 'Aquilus']"
cockroach,黒光り,2,colors,[]
comic,白と黒,6,colors,['Shiro to Kuro']
curry,茶色,13,colors,"['brown', 'brownness', 'Aquilus']"
dandelion,白,5,colors,"['whiteness', 'white', 'colorimetric whiteness']"
dandelion,黄色,16,colors,"['yellow', 'yellowness']"
dandelion,白い綿毛,2,colors,[]
dandelion,黄色い花,4,colors,[]
dracula,青白い肌,6,colors,[]
dracula,黒いマントをつけている,5,colors,[]
dracula,黒,2,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
dracula,黒い服を着ている,2,colors,[]
drum,茶色,2,colors,"['brown', 'brownness', 'Aquilus']"
eel,黒,5,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
fence,灰色,8,colors,"['gray', 'grey', 'greyness', 'grayness']"
fridge,白,7,colors,"['whiteness', 'white', 'colorimetric whiteness']"
ghost,透き通っている,11,colors,[]
ghost,白,2,colors,"['whiteness', 'white', 'colorimetric whiteness']"
ghost,白い着物を着ている,4,colors,[]
ghost,青白い,2,colors,[]
guppy,色が鮮やか,3,colors,[]
guppy,色彩が豊か,3,colors,[]
hospital,白,10,colors,"['whiteness', 'white', 'colorimetric whiteness']"
kettle,銀,2,colors,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
key,銀,8,colors,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
lettuce,緑,15,colors,"['green', 'viridity', 'greenness']"
lettuce,黄緑,5,colors,"['chartreuse', 'Paris green', 'pea green', 'yellow green', 'yellowish green', 'jade']"
magazine,カラー,2,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors']"
magazine,色彩が豊か,2,colors,[]
microwave,温めているときオレンジになる,3,colors,[]
octopus,赤,13,colors,"['communist', 'communism', 'red', 'redness']"
onion,白,6,colors,"['whiteness', 'white', 'colorimetric whiteness']"
onion,中身は白い,4,colors,[]
onion,炒めるとあめ色になる,2,colors,[]
onion,皮が茶色,4,colors,[]
paper,白,12,colors,"['whiteness', 'white', 'colorimetric whiteness']"
paper lantern,赤,8,colors,"['communist', 'communism', 'red', 'redness']"
park,緑,3,colors,"['green', 'viridity', 'greenness']"
pencil,黒,6,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
pencil,緑,3,colors,"['green', 'viridity', 'greenness']"
pencil,芯が黒い,4,colors,[]
pencil case,黒ずんでいく,2,colors,[]
piano,白と黒,5,colors,['Shiro to Kuro']
piano,黒,6,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
piano,白と黒の鍵盤,4,colors,[]
piano,黒白,3,colors,[]
plate,白,9,colors,"['whiteness', 'white', 'colorimetric whiteness']"
plate,色は様々,2,colors,[]
postcard,白,11,colors,"['whiteness', 'white', 'colorimetric whiteness']"
public phone,緑,21,colors,"['green', 'viridity', 'greenness']"
pumpkin,オレンジ色,7,colors,"['orangeness', 'orange']"
pumpkin,緑,8,colors,"['green', 'viridity', 'greenness']"
pumpkin,皮が緑色,6,colors,[]
