concept_en,concept_de,feature_en_en,feature_de,feature_de_en,freq_en,freq_de,total_en,total_other,frac_en,frac_de,diff
spoon,Löffel,grey,silber,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,4.0,12.0,6.0,0.0,0.6666666666666666,0.6666666666666666
frog,Kröte,brown,braun,"['brown', 'brownness', 'Aquilus']",0.0,3.0,26.0,5.0,0.0,0.6,0.6
bull,Bulle,black,schwarz,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,3.0,5.0,7.0,0.0,0.42857142857142855,0.42857142857142855
pen,Feder,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",0.0,2.0,41.0,5.0,0.0,0.4,0.4
meat,Fleisch,pink,rosa,"['rose', 'rosebush', 'pink']",0.0,2.0,15.0,5.0,0.0,0.4,0.4
raspberry,Himbeere,pink,rosa,"['rose', 'rosebush', 'pink']",3.0,3.0,39.0,7.0,0.07692307692307693,0.42857142857142855,0.3516483516483516
tea,Tee,brown,braun,"['brown', 'brownness', 'Aquilus']",0.0,2.0,5.0,6.0,0.0,0.3333333333333333,0.3333333333333333
plate,Nummernschild,black,schwarz,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,3.0,20.0,9.0,0.0,0.3333333333333333,0.3333333333333333
cheese,Käse,red,rot,"['red', 'redness']",0.0,5.0,19.0,15.0,0.0,0.3333333333333333,0.3333333333333333
straw,Halm,green,grün,"['green', 'viridity', 'greenness']",0.0,6.0,96.0,19.0,0.0,0.3157894736842105,0.3157894736842105
bear,Bär,brown,braun,"['brown', 'brownness', 'Aquilus']",22.0,10.0,54.0,14.0,0.4074074074074074,0.7142857142857143,0.3068783068783069
plant,Gewächs,green,grün,"['green', 'viridity', 'greenness']",54.0,8.0,108.0,10.0,0.5,0.8,0.30000000000000004
pumpkin,Kürbis,yellow,gelb,"['yellow', 'yellowness']",0.0,2.0,68.0,7.0,0.0,0.2857142857142857,0.2857142857142857
hair,Haar,grey,grau,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,9.0,7.0,0.0,0.2857142857142857,0.2857142857142857
bull,Bulle,brown,braun,"['brown', 'brownness', 'Aquilus']",0.0,2.0,5.0,7.0,0.0,0.2857142857142857,0.2857142857142857
tongue,Zunge,red,rot,"['red', 'redness']",3.0,6.0,6.0,8.0,0.5,0.75,0.25
necklace,Kette,grey,silber,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,2.0,83.0,8.0,0.0,0.25,0.25
necklace,Halskette,grey,silber,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,2.0,83.0,8.0,0.0,0.25,0.25
salmon,Lachs,red,rot,"['red', 'redness']",3.0,3.0,21.0,8.0,0.14285714285714285,0.375,0.23214285714285715
carrot,Mohrrübe,red,rot,"['red', 'redness']",0.0,2.0,46.0,9.0,0.0,0.2222222222222222,0.2222222222222222
fire,Feuer,yellow,gelb,"['yellow', 'yellowness']",11.0,3.0,95.0,9.0,0.11578947368421053,0.3333333333333333,0.2175438596491228
deer,Hirsch,brown,braun,"['brown', 'brownness', 'Aquilus']",7.0,4.0,12.0,5.0,0.5833333333333334,0.8,0.21666666666666667
toad,Kröte,brown,braun,"['brown', 'brownness', 'Aquilus']",12.0,3.0,31.0,5.0,0.3870967741935484,0.6,0.2129032258064516
pig,Schweinchen,black,schwarz,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,1.0,31.0,5.0,0.0,0.2,0.2
meat,Fleisch,white,weiß,"['whiteness', 'white', 'colorimetric whiteness']",0.0,1.0,15.0,5.0,0.0,0.2,0.2
coconut,Kokosnuss,brown,braun,"['brown', 'brownness', 'Aquilus']",20.0,8.0,80.0,19.0,0.25,0.42105263157894735,0.17105263157894735
walnut,Walnuss,green,grün,"['green', 'viridity', 'greenness']",0.0,1.0,19.0,6.0,0.0,0.16666666666666666,0.16666666666666666
tea,Tee,red,rot,"['red', 'redness']",0.0,1.0,5.0,6.0,0.0,0.16666666666666666,0.16666666666666666
