concept_en,concept_nl,feature_en_en,feature_nl,feature_nl_en,freq_en,freq_nl,total_en,total_other,frac_en,frac_nl,diff
asparagus,asperges,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,9.0,44.0,13.0,0.0,0.6923076923076923,0.6923076923076923
toaster,broodrooster,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,4.0,5.0,6.0,0.0,0.6666666666666666,0.6666666666666666
submarine,duikboot,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,8.0,23.0,12.0,0.0,0.6666666666666666,0.6666666666666666
jeep,jeep,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,4.0,5.0,6.0,0.0,0.6666666666666666,0.6666666666666666
cabbage,witte kool,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",7.0,6.0,120.0,9.0,0.058333333333333334,0.6666666666666666,0.6083333333333333
suit,kostuum,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",3.0,7.0,7.0,7.0,0.42857142857142855,1.0,0.5714285714285714
pan,kookpot,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,4.0,6.0,7.0,0.0,0.5714285714285714,0.5714285714285714
dove,duif,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,12.0,25.0,21.0,0.0,0.5714285714285714,0.5714285714285714
donkey,ezel,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",1.0,14.0,7.0,20.0,0.14285714285714285,0.7,0.5571428571428572
trombone,trombone,yellow,goud,"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']",0.0,3.0,6.0,6.0,0.0,0.5,0.5
saxophone,saxofoon,yellow,goud,"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']",0.0,4.0,7.0,8.0,0.0,0.5,0.5
dishes,bestek,white,zilver,"['silver', 'Ag', 'whiteness', 'white', 'colorimetric whiteness', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,5.0,16.0,10.0,0.0,0.5,0.5
basketball,basketbal,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,7.0,28.0,14.0,0.0,0.5,0.5
avocado,advocaat,yellow,geel,"['yellow', 'yellowness']",0.0,4.0,19.0,8.0,0.0,0.5,0.5
rat,muis,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,18.0,5.0,37.0,0.0,0.4864864864864865,0.4864864864864865
orange,sinaasappel,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,9.0,21.0,20.0,0.0,0.45,0.45
